کدمحصول,عنوان,لایه درخت,نوع
0200512318,درخت سرو,6,برگ
0200512319,درخت سرو کوهی,6,برگ
0200512320,درخت سرو خمره ای,6,برگ
0200512321,درخت نوئل,6,برگ
0200512322,درخت نراد,6,برگ
0200512323,درخت اکالیپتوس,6,برگ
0200312324,انواع مواد خودروی جنگلی,4,شاخه
0200412325,لاک، رزین و بلسان (درخت گل حنا),5,برگ
0200412326,الیاف باریک پوست کاج و علف مارماهی,5,برگ
0200412327,خزه ها و گلسنگ ها,5,برگ
0200412328,خیزران و بامبو,5,برگ
0200312329,محصولات چوبی حاصل از درختان,4,شاخه
0200412330,تیر حایل سقف معدن,5,برگ
0200412331,تیرچه چوبی زیر ریل قطار,5,برگ
0200412332,هیزم,5,برگ
0200412333,چوب دو نیم شده برای تکیه گاه نباتات,5,برگ
0200412334,میخ چوبی,5,برگ
0200412335,انواع گرده بینه,5,برگ
0200412336,بستر کشت از ضایعات سلولزی,5,برگ
05,ماهیگیری، اداره هچری ها و مزرعه های تکثیر و پرورش ماهی؛ فعالیتهای خدماتی در راستای ماهیگیری,2,شاخه
0500,ماهیگیری، اداره هچری ها و مزرعه های تکثیر و پرورش ماهی؛ فعالیت های خدماتی در راستای ماهیگیری,3,شاخه
0500312301,انواع ماهی,4,شاخه
0500412302,ماهی آب شیرین,5,شاخه
0500512303,ماهی رودخانه ای آب شیرین,6,برگ
0500512304,ماهی دریاچه ای آب شیرین,6,برگ
0500512305,ماهی تزیینی آب شیرین,6,برگ
0500412306,ماهی آب شور,5,شاخه
0500512307,ماهی تن,6,برگ
0500512308,ماهی تزیینی آب شور,6,برگ
0500312309,سایر جانوران یا گیاهان دریایی طبقه بندی نشده در جای دیگر,4,شاخه
0500412310,جلبک ها و خزه ها,5,برگ
0500412311,اسفنج ها، مرجان ها و شقایق ها,5,برگ
0500412312,سخت پوستان,5,شاخه
0500512313,میگو,6,برگ
0500512314,خرچنگ,6,برگ
0500412315,نرم تنان,5,شاخه
0500512316,صدف خوراکی و صدف دو کفه ای,6,برگ
0500312317,محصولات حاصل از فعالیت های ماهیگیری,4,شاخه
0500412318,مروارید طبیعی,5,برگ
0500312319,محصولات حاصل از فعالیت های آبزی پروری (به جز خاویار ماهیان غضروفی),4,شاخه
0500412320,تخم ماهیان آب شور,5,برگ
0500412321,تخم ماهیان آب شیرین,5,برگ
0500412322,تخم سخت پوستان,5,برگ
0500412323,تخم نرم تنان,5,برگ
0500412324,دکپسوله سیست آرتمیا,5,برگ
0500412325,آرتمیا منجمد,5,برگ
0500412326,سیست آرتمیا,5,برگ
10,استخراج زغال سنگ و لیگنیت؛ زغال سنگ نارس (تورب),2,شاخه
1010,استخراج و آگلومراسیون زغال سنگ سخت,3,شاخه
1010312301,انواع زغال سنگ سخت (استخراج),4,شاخه
1010412303,زغال سنگ آنتراسیت,5,برگ
1010412304,زغال سنگ بیتومینه,5,شاخه
1010512305,زغال سنگ بیتومینه حرارتی,6,برگ
1010512306,زغال سنگ بیتومینه کک شو,6,برگ
1010312307,انواع فرآورده زغال سنگ سخت,4,شاخه
1010412308,کنسانتره زغال سنگ سخت (آنتراسیت),5,برگ
1010412309,زغال سنگ سخت دانه بندی شده,5,برگ
